City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Anadyr,RU,59.5,clear sky,64.75,177.4833,"Гостиница ""Анадырь"""
7,Raesfeld,DE,57.79,clear sky,51.7667,6.85,Hotel am Tiergarten
14,Port Alfred,ZA,56.73,overcast clouds,-33.5906,26.891,The Halyards Hotel
22,Busselton,AU,54.09,overcast clouds,-33.65,115.3333,Observatory Guest House
25,Port Lincoln,AU,58.55,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
26,Burnie,AU,51.93,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
27,Onguday,RU,53.13,scattered clouds,50.75,86.15,"Gostinitsa ""Motel'"""
31,Kaitangata,NZ,50.97,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
32,Mataura,NZ,50.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
35,Kincardine,GB,55.81,clear sky,56.0667,-3.7167,Premier Inn Falkirk North hotel
38,Kantemirovka,RU,58.15,overcast clouds,49.7089,39.8592,Premier Hotel
42,Esperance,AU,55.24,light rain,-33.8667,121.9,Hospitality Esperance
43,Hermanus,ZA,56.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Nazran,RU,51.58,clear sky,43.2261,44.765,Dubai Hotel
47,Penzance,GB,52.81,clear sky,50.1186,-5.5371,Artist Residence Penzance
48,Geraldton,AU,59.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
52,Amurzet,RU,57.22,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
54,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
57,Smithers,CA,53.92,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
60,Yellowknife,CA,51.3,broken clouds,62.456,-114.3525,The Explorer Hotel
66,Aklavik,CA,54.32,overcast clouds,68.2191,-135.0107,Aklavik Inn
68,Bilibino,RU,58.93,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
72,Hukuntsi,BW,52.74,few clouds,-24.0,21.75,Entabeni Hotel
74,Ketchikan,US,55.38,light rain,55.3422,-131.6461,Snows Cove Lodge
78,Roma,US,51.94,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
105,Cape Town,ZA,57.11,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
107,Thompson,CA,59.16,few clouds,55.7435,-97.8558,Burntwood Hotel
111,Yulara,AU,57.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
113,Minnedosa,CA,55.96,overcast clouds,50.2453,-99.8436,Kruk Castle Bed & Breakfast
120,Dalvik,IS,50.0,clear sky,65.9702,-18.5286,Dalvík HI Hostel
128,Juneau,US,52.21,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
129,Rivadavia,AR,54.07,overcast clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
132,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
136,Hovd,MN,50.86,clear sky,48.0056,91.6419,Hotel Khovd
149,East London,ZA,55.96,overcast clouds,-33.0153,27.9116,Tu Casa
165,Castro,BR,56.62,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
178,Ancud,CL,56.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
179,Nantucket,US,53.08,overcast clouds,41.2835,-70.0995,Jared Coffin House
185,Lebu,CL,53.73,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
186,Kulevcha,UA,56.07,overcast clouds,46.0303,29.9361,Гостевой дом «Болгарский двор»
193,Carnarvon,AU,57.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
204,Tselinnoye,RU,58.84,broken clouds,53.0833,85.6667,Zolotaya Podkova
206,Haines Junction,CA,55.35,overcast clouds,60.7522,-137.5108,Parkside Inn
210,Klaksvik,FO,50.92,clear sky,62.2266,-6.5889999999999995,Airbnb rooms
214,Port Hardy,CA,57.38,broken clouds,50.6996,-127.4199,Airport Inn
227,Songea,TZ,53.98,clear sky,-10.6833,35.65,mtakuja
229,San Rafael,AR,55.69,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
245,Tahe,CN,58.84,overcast clouds,52.3333,124.7333,塔河宾馆
246,Margate,GB,53.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
250,Poiana Lacului,RO,50.92,overcast clouds,44.8167,24.7333,Popa's Căsuța din Povești
269,Ondjiva,AO,56.07,overcast clouds,-17.0667,15.7333,SOS Motel
288,Lubango,AO,56.71,few clouds,-14.9172,13.4925,Hotel Serra da Chela
294,Korcula,HR,57.76,few clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
297,Torbay,CA,52.57,broken clouds,47.6666,-52.7314,Gallows Cove
324,Nakambala,ZM,54.19,clear sky,-15.8324,27.7799,Staff Area
345,Takanosu,JP,59.76,broken clouds,40.2219,140.3694,Hotel New Matsuo
354,Northam,GB,56.3,scattered clouds,51.0333,-4.2167,Durrant House Hotel
357,Nome,US,56.16,broken clouds,64.5011,-165.4064,Dredge 7 Inn
362,Angol,CL,52.41,overcast clouds,-37.8,-72.7167,Hospedaje
363,Gisborne,NZ,58.95,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
368,Elizabeth City,US,59.05,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
390,Dryden,CA,55.69,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
397,Sitka,US,55.29,overcast clouds,57.0531,-135.33,Westmark Sitka
398,Murdochville,CA,54.48,overcast clouds,48.9583,-65.5006,Les Suites économique Murdochville
405,Atlantic City,US,53.02,overcast clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
412,Sendafa,ET,54.03,clear sky,9.15,39.0333,german hotel
414,Virginia Beach,US,59.11,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
423,Asau,RO,50.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
434,Cuamba,MZ,58.84,clear sky,-14.8031,36.5372,Hotel Vision
437,Codrington,AU,53.8,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
438,Ocean City,US,53.01,overcast clouds,39.2776,-74.5746,Biscayne Suites
443,Okato,NZ,58.42,moderate rain,-39.2,173.8833,Goodin Country Garden
450,Roald,NO,51.17,few clouds,62.5833,6.1333,Flem Cabins
460,Sorgun,TR,54.3,broken clouds,39.8101,35.186,SORGUN BIG THERMAL TURIZM HOTEL COMPANY A.Ş.
472,Den Helder,NL,54.01,few clouds,52.9599,4.7593,Hotel Den Helder
478,Pietersburg,ZA,50.85,few clouds,-23.9045,29.4688,Bed and Breakfast @ Reggies B&B
481,Goderich,CA,55.72,few clouds,43.7501,-81.7165,Harmony Inn
491,Lithgow,AU,53.87,clear sky,-33.4833,150.15,Zig Zag Motel Lithgow
492,Catamarca,AR,59.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
496,La Rioja,ES,59.04,clear sky,42.25,-2.5,Casa Concejos
500,Kyabram,AU,50.88,clear sky,-36.3167,145.05,Kyabram Motor Inn
501,Sehithwa,BW,57.58,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
504,Ulaangom,MN,53.26,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
514,Ankazoabo,MG,57.33,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
521,Somerset,US,52.25,overcast clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
527,Livingston,GB,52.3,few clouds,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
528,Lakes Entrance,AU,53.62,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
529,Lensk,RU,56.07,overcast clouds,60.7253,114.9278,ТинОрС
539,Takab,IR,55.49,clear sky,36.4009,47.1133,مهمانپذیر تخت سلیمان
556,Bay Roberts,CA,53.35,overcast clouds,47.5999,-53.2648,Stonewall Inn
561,Katav-Ivanovsk,RU,55.92,broken clouds,54.7531,58.1956,Guest House U Zigalgi
563,Xining,CN,57.9,overcast clouds,36.6167,101.7667,Super Leisure Hotel
570,Novopokrovka,UA,53.98,broken clouds,49.8425,36.5477,Пудж дом
585,Tambovka,RU,57.31,few clouds,50.0969,128.0489,Lyzhnaya Gorka
589,Viedma,AR,56.84,overcast clouds,-40.8135,-62.9967,Hotel Cristal
598,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Punto de encuentro
615,Constitucion,CL,55.45,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
619,Novyy Buyan,RU,53.76,heavy intensity rain,53.6861,50.0469,"Ekoferma ""Zolotaya Podkova"""
646,Zyryanovsk,KZ,56.98,clear sky,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
650,San Luis,AR,50.32,overcast clouds,-33.295,-66.3356,Huarpes Hotel
655,Borovoy,RU,56.48,clear sky,55.4333,86.0833,Tsimus
659,Havelock,US,59.95,overcast clouds,34.8791,-76.9013,Sherwood Motel
660,Mercedes,AR,50.86,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
664,Khandyga,RU,51.69,light rain,62.6667,135.6,Apel'sin
